Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Código DANE||20570|2000|0|DANE|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Región||Caribe|2000|0|DANE|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Subregión (SGR)||Norte|2000|0|DNP|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2000|0|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2018|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2019|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2020|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2021|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2022|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2023|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría ley 617 de 2000||6|2024|12|Ley 617 de 2000|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Categoría de ruralidad||Rural disperso|2000|0|DNP|Texto
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Extensión|859,00||2017|3|IGAC|Kilómetros cuadrados
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|27.007,00||2018|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|28.298,00||2019|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|29.017,00||2020|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|29.706,00||2021|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|30.292,00||2022|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|30.844,00||2023|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|31.317,00||2024|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|31.738,00||2025|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|32.128,00||2026|12|DANE|Personas
20|Cesar|20570|Pueblo Bello|Descripción general|Descripción general|Población total|32.462,00||2027|12|DANE|Personas
